symboling,make,fuel-type,body-style,drive-wheels,wheel-base,length,width,height,horsepower,peak-rpm,highway-mpg,city-mpg,normalized-losses,engine-location,engine-type,engine-size,price
1,honda,gas,hatchback,fwd,93.7,150.0,64.0,52.6,76,6000,34,30,101,front,ohc,92,7129
0,honda,gas,sedan,fwd,96.5,163.4,64.0,54.5,76,6000,34,30,110,front,ohc,92,7295
0,honda,gas,wagon,fwd,96.5,157.1,63.9,58.3,76,6000,34,30,78,front,ohc,92,7295
0,honda,gas,hatchback,fwd,96.5,167.5,65.2,53.3,86,5800,33,27,106,front,ohc,110,7895
0,honda,gas,hatchback,fwd,96.5,167.5,65.2,53.3,86,5800,33,27,106,front,ohc,110,9095
0,honda,gas,sedan,fwd,96.5,175.4,65.2,54.1,86,5800,33,27,85,front,ohc,110,8845
0,honda,gas,sedan,fwd,96.5,175.4,62.5,54.1,86,5800,33,27,85,front,ohc,110,10295
0,honda,gas,sedan,fwd,96.5,175.4,65.2,54.1,101,5800,28,24,85,front,ohc,110,12945
1,honda,gas,sedan,fwd,96.5,169.1,66.0,51.0,100,5500,31,25,107,front,ohc,110,10345
0,isuzu,gas,sedan,rwd,94.3,170.7,61.8,53.5,78,4800,29,24,?,front,ohc,111,6785
1,isuzu,gas,sedan,fwd,94.5,155.9,63.6,52.0,70,5400,43,38,?,front,ohc,90,10000
0,isuzu,gas,sedan,fwd,94.5,155.9,63.6,52.0,70,5400,43,38,?,front,ohc,90,23000
2,isuzu,gas,hatchback,rwd,96.0,172.6,65.2,51.4,90,5000,29,24,?,front,ohc,119,11048
0,jaguar,gas,sedan,rwd,113.0,199.6,69.6,52.8,176,4750,19,15,145,front,dohc,258,32250
0,jaguar,gas,sedan,rwd,113.0,199.6,69.6,52.8,176,4750,19,15,?,front,dohc,258,35550
0,jaguar,gas,sedan,rwd,102.0,191.7,70.6,47.8,262,5000,17,13,?,front,ohcv,326,36000
1,mazda,gas,hatchback,fwd,93.1,159.1,64.2,54.1,68,5000,31,30,104,front,ohc,91,5195
1,mazda,gas,hatchback,fwd,93.1,159.1,64.2,54.1,68,5000,38,31,104,front,ohc,91,6095
1,mazda,gas,hatchback,fwd,93.1,159.1,64.2,54.1,68,5000,38,31,104,front,ohc,91,6795
1,mazda,gas,sedan,fwd,93.1,166.8,64.2,54.1,68,5000,38,31,113,front,ohc,91,6695
1,mazda,gas,sedan,fwd,93.1,166.8,64.2,54.1,68,5000,38,31,113,front,ohc,91,7395
3,mazda,gas,hatchback,rwd,95.3,169.0,65.7,49.6,101,6000,23,17,150,front,rotor,70,10945
3,mazda,gas,hatchback,rwd,95.3,169.0,65.7,49.6,101,6000,23,17,150,front,rotor,70,11845
3,mazda,gas,hatchback,rwd,95.3,169.0,65.7,49.6,101,6000,23,17,150,front,rotor,70,13645
3,mazda,gas,hatchback,rwd,95.3,169.0,65.7,49.6,135,6000,23,16,150,front,rotor,80,15645
1,mazda,gas,hatchback,fwd,98.8,177.8,66.5,53.7,84,4800,32,26,129,front,ohc,122,8845
0,mazda,gas,sedan,fwd,98.8,177.8,66.5,55.5,84,4800,32,26,115,front,ohc,122,8495
1,mazda,gas,hatchback,fwd,98.8,177.8,66.5,53.7,84,4800,32,26,129,front,ohc,122,10595
0,mazda,gas,sedan,fwd,98.8,177.8,66.5,55.5,84,4800,32,26,115,front,ohc,122,10245
0,mazda,diesel,sedan,fwd,98.8,177.8,66.5,55.5,64,4650,42,36,?,front,ohc,122,10795
0,mazda,gas,hatchback,fwd,98.8,177.8,66.5,55.5,84,4800,32,26,115,front,ohc,122,11245
0,mazda,gas,sedan,rwd,104.9,175.0,66.1,54.4,120,5000,27,19,118,front,ohc,140,18280
0,mazda,diesel,sedan,rwd,104.9,175.0,66.1,54.4,72,4200,39,31,?,front,ohc,134,18344
-1,mercedes-benz,diesel,sedan,rwd,110.0,190.9,70.3,56.5,123,4350,25,22,93,front,ohc,183,25552
-1,mercedes-benz,diesel,wagon,rwd,110.0,190.9,70.3,58.7,123,4350,25,22,93,front,ohc,183,28248
0,mercedes-benz,diesel,hardtop,rwd,106.7,187.5,70.3,54.9,123,4350,25,22,93,front,ohc,183,28176
-1,mercedes-benz,diesel,sedan,rwd,115.6,202.6,71.7,56.3,123,4350,25,22,93,front,ohc,183,31600
-1,mercedes-benz,gas,sedan,rwd,115.6,202.6,71.7,56.5,155,4750,18,16,?,front,ohcv,234,34184
3,mercedes-benz,gas,convertible,rwd,96.6,180.3,70.5,50.8,155,4750,18,16,142,front,ohcv,234,35056
0,mercedes-benz,gas,sedan,rwd,120.9,208.1,71.7,56.7,184,4500,16,14,?,front,ohcv,308,40960
1,mercedes-benz,gas,hardtop,rwd,112.0,199.2,72.0,55.4,184,4500,16,14,?,front,ohcv,304,45400
1,mercury,gas,hatchback,rwd,102.7,178.4,68.0,54.8,175,5000,24,19,?,front,ohc,140,16503
2,mitsubishi,gas,hatchback,fwd,93.7,157.3,64.4,50.8,68,5500,41,37,161,front,ohc,92,5389
2,mitsubishi,gas,hatchback,fwd,93.7,157.3,64.4,50.8,68,5500,38,31,161,front,ohc,92,6189
2,mitsubishi,gas,hatchback,fwd,93.7,157.3,64.4,50.8,68,5500,38,31,161,front,ohc,92,6669
1,mitsubishi,gas,hatchback,fwd,93.0,157.3,63.8,50.8,102,5500,30,24,161,front,ohc,98,7689
3,mitsubishi,gas,hatchback,fwd,96.3,173.0,65.4,49.4,116,5500,30,23,153,front,ohc,110,9959
3,mitsubishi,gas,hatchback,fwd,96.3,173.0,65.4,49.4,88,5000,32,25,153,front,ohc,122,8499
3,mitsubishi,gas,hatchback,fwd,95.9,173.2,66.3,50.2,145,5000,24,19,?,front,ohc,156,12629
3,mitsubishi,gas,hatchback,fwd,95.9,173.2,66.3,50.2,145,5000,24,19,?,front,ohc,156,14869
3,mitsubishi,gas,hatchback,fwd,95.9,173.2,66.3,50.2,145,5000,24,19,?,front,ohc,156,14489
1,mitsubishi,gas,sedan,fwd,96.3,172.4,65.4,51.6,88,5000,32,25,125,front,ohc,122,6989
1,mitsubishi,gas,sedan,fwd,96.3,172.4,65.4,51.6,88,5000,32,25,125,front,ohc,122,8189
1,mitsubishi,gas,sedan,fwd,96.3,172.4,65.4,51.6,116,5500,30,23,125,front,ohc,110,9279
-1,mitsubishi,gas,sedan,fwd,96.3,172.4,65.4,51.6,116,5500,30,23,137,front,ohc,110,9279
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,128,front,ohc,97,5499
1,nissan,diesel,sedan,fwd,94.5,165.3,63.8,54.5,55,4800,50,45,128,front,ohc,103,7099
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,128,front,ohc,97,6649
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,122,front,ohc,97,6849
1,nissan,gas,wagon,fwd,94.5,170.2,63.8,53.5,69,5200,37,31,103,front,ohc,97,7349
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,128,front,ohc,97,7299
1,nissan,gas,hatchback,fwd,94.5,165.6,63.8,53.3,69,5200,37,31,128,front,ohc,97,7799
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,122,front,ohc,97,7499
1,nissan,gas,wagon,fwd,94.5,170.2,63.8,53.5,69,5200,37,31,103,front,ohc,97,7999
2,nissan,gas,hardtop,fwd,95.1,162.4,63.8,53.3,69,5200,37,31,168,front,ohc,97,8249
0,nissan,gas,hatchback,fwd,97.2,173.4,65.2,54.7,97,5200,34,27,106,front,ohc,120,8949
0,nissan,gas,sedan,fwd,97.2,173.4,65.2,54.7,97,5200,34,27,106,front,ohc,120,9549
0,nissan,gas,sedan,fwd,100.4,181.7,66.5,55.1,152,5200,22,17,128,front,ohcv,181,13499
0,nissan,gas,wagon,fwd,100.4,184.6,66.5,56.1,152,5200,22,17,108,front,ohcv,181,14399
0,nissan,gas,sedan,fwd,100.4,184.6,66.5,55.1,152,5200,25,19,108,front,ohcv,181,13499
3,nissan,gas,hatchback,rwd,91.3,170.7,67.9,49.7,160,5200,25,19,194,front,ohcv,181,17199
3,nissan,gas,hatchback,rwd,91.3,170.7,67.9,49.7,200,5200,23,17,194,front,ohcv,181,19699
1,nissan,gas,hatchback,rwd,99.2,178.5,67.9,49.7,160,5200,25,19,231,front,ohcv,181,18399
0,peugot,gas,sedan,rwd,107.9,186.7,68.4,56.7,97,5000,24,19,161,front,l,120,11900
0,peugot,diesel,sedan,rwd,107.9,186.7,68.4,56.7,95,4150,33,28,161,front,l,152,13200
0,peugot,gas,wagon,rwd,114.2,198.9,68.4,58.7,97,5000,24,19,?,front,l,120,12440
0,peugot,diesel,wagon,rwd,114.2,198.9,68.4,58.7,95,4150,25,25,?,front,l,152,13860
0,peugot,gas,sedan,rwd,107.9,186.7,68.4,56.7,95,5000,24,19,161,front,l,120,15580
0,peugot,diesel,sedan,rwd,107.9,186.7,68.4,56.7,95,4150,33,28,161,front,l,152,16900
0,peugot,gas,wagon,rwd,114.2,198.9,68.4,56.7,95,5000,24,19,?,front,l,120,16695
0,peugot,diesel,wagon,rwd,114.2,198.9,68.4,58.7,95,4150,25,25,?,front,l,152,17075
0,peugot,gas,sedan,rwd,107.9,186.7,68.4,56.7,97,5000,24,19,161,front,l,120,16630
0,peugot,diesel,sedan,rwd,107.9,186.7,68.4,56.7,95,4150,33,28,161,front,l,152,17950
0,peugot,gas,sedan,rwd,108.0,186.7,68.3,56.0,142,5600,24,18,161,front,l,134,18150
1,plymouth,gas,hatchback,fwd,93.7,157.3,63.8,50.8,68,5500,41,37,119,front,ohc,90,5572
1,plymouth,gas,hatchback,fwd,93.7,157.3,63.8,50.8,102,5500,30,24,119,front,ohc,98,7957
1,plymouth,gas,hatchback,fwd,93.7,157.3,63.8,50.6,68,5500,38,31,154,front,ohc,90,6229
1,plymouth,gas,sedan,fwd,93.7,167.3,63.8,50.8,68,5500,38,31,154,front,ohc,90,6692
1,plymouth,gas,sedan,fwd,93.7,167.3,63.8,50.8,68,5500,38,31,154,front,ohc,98,7609
-1,plymouth,gas,wagon,fwd,103.3,174.6,64.6,59.8,88,5000,30,24,74,front,ohc,122,8921
3,plymouth,gas,hatchback,rwd,95.9,173.2,66.3,50.2,145,5000,24,19,?,front,ohc,156,12764
3,porsche,gas,hatchback,rwd,94.5,168.9,68.3,50.2,143,5500,27,19,186,front,ohc,151,22018
3,porsche,gas,hardtop,rwd,89.5,168.9,65.0,51.6,207,5900,25,17,?,rear,ohcf,194,32528
3,porsche,gas,hardtop,rwd,89.5,168.9,65.0,51.6,207,5900,25,17,?,rear,ohcf,194,34028
3,porsche,gas,convertible,rwd,89.5,168.9,65.0,51.6,207,5900,25,17,?,rear,ohcf,194,37028
1,porsche,gas,hatchback,rwd,98.4,175.7,72.3,50.5,288,5750,28,17,?,front,dohcv,203,12000
0,renault,gas,wagon,fwd,96.1,181.5,66.5,55.2,238,5000,31,23,?,front,ohc,132,9295
2,renault,gas,hatchback,fwd,96.1,176.8,66.6,50.5,110,5500,31,23,?,front,ohc,132,9895
3,saab,gas,hatchback,fwd,99.1,186.6,66.5,56.1,110,5500,28,21,150,front,ohc,121,11850
2,saab,gas,sedan,fwd,99.1,186.6,66.5,56.1,110,5250,28,21,104,front,ohc,121,12170
3,saab,gas,hatchback,fwd,99.1,186.6,66.5,56.1,110,5250,28,21,150,front,ohc,121,15040
2,saab,gas,sedan,fwd,99.1,186.6,66.5,56.1,110,5250,28,21,104,front,ohc,121,15510
3,saab,gas,hatchback,fwd,99.1,186.6,66.5,56.1,160,5500,26,19,150,front,dohc,121,18150
2,saab,gas,sedan,fwd,99.1,186.6,66.5,56.1,160,5500,26,19,104,front,dohc,121,18620
2,subaru,gas,hatchback,fwd,93.7,156.9,63.4,53.7,69,4900,36,31,83,front,ohcf,97,5118
2,subaru,gas,hatchback,fwd,93.7,157.9,63.6,53.7,73,4400,31,26,83,front,ohcf,108,7053
2,subaru,gas,hatchback,4wd,93.3,157.3,63.8,55.7,73,4400,31,26,83,front,ohcf,108,7603
0,subaru,gas,sedan,fwd,97.2,172.0,65.4,52.5,82,4800,37,32,102,front,ohcf,108,7126
0,subaru,gas,sedan,fwd,97.2,172.0,65.4,52.5,82,4400,33,28,102,front,ohcf,108,7775
0,subaru,gas,sedan,fwd,97.2,172.0,65.4,52.5,94,5200,32,26,102,front,ohcf,108,9960
0,subaru,gas,sedan,4wd,97.0,172.0,65.4,54.3,82,4800,25,24,102,front,ohcf,108,9233
0,subaru,gas,sedan,4wd,97.0,172.0,65.4,54.3,111,4800,29,24,102,front,ohcf,108,11259
0,subaru,gas,wagon,fwd,97.0,173.5,65.4,53.0,82,4800,32,28,89,front,ohcf,108,7463
0,subaru,gas,wagon,fwd,97.0,173.5,65.4,53.0,94,5200,31,25,89,front,ohcf,108,10198
0,subaru,gas,wagon,4wd,96.9,173.6,65.4,54.9,82,4800,29,23,85,front,ohcf,108,8013
0,subaru,gas,wagon,4wd,96.9,173.6,65.4,54.9,111,4800,23,23,85,front,ohcf,108,11694
1,toyota,gas,hatchback,fwd,95.7,158.7,63.6,54.5,62,4800,39,35,87,front,ohc,92,5348
1,toyota,gas,hatchback,fwd,95.7,158.7,63.6,54.5,62,4800,38,31,87,front,ohc,92,6338
1,toyota,gas,hatchback,fwd,95.7,158.7,63.6,54.5,62,4800,38,31,74,front,ohc,92,6488
0,toyota,gas,wagon,fwd,95.7,169.7,63.6,59.1,62,4800,37,31,77,front,ohc,92,6918
0,toyota,gas,wagon,4wd,95.7,169.7,63.6,59.1,62,4800,32,27,81,front,ohc,92,7898
0,toyota,gas,wagon,4wd,95.7,169.7,63.6,59.1,62,4800,32,27,91,front,ohc,92,8778
0,toyota,gas,sedan,fwd,95.7,166.3,64.4,53.0,70,4800,37,30,91,front,ohc,98,6938
0,toyota,gas,hatchback,fwd,95.7,166.3,64.4,52.8,70,4800,37,30,91,front,ohc,98,7198
0,toyota,diesel,sedan,fwd,95.7,166.3,64.4,53.0,56,4500,36,34,91,front,ohc,110,7898
0,toyota,diesel,hatchback,fwd,95.7,166.3,64.4,52.8,56,4500,47,38,91,front,ohc,110,7788
0,toyota,gas,sedan,fwd,95.7,166.3,64.4,53.0,70,4800,47,38,91,front,ohc,98,7738
0,toyota,gas,hatchback,fwd,95.7,166.3,64.4,52.8,70,4800,34,28,91,front,ohc,98,8358
0,toyota,gas,sedan,fwd,95.7,166.3,64.4,52.8,70,4800,34,28,91,front,ohc,98,9258
1,toyota,gas,sedan,rwd,94.5,168.7,64.0,52.6,70,4800,34,29,168,front,ohc,98,8058
1,toyota,gas,hatchback,rwd,94.5,168.7,64.0,52.6,70,4800,34,29,168,front,ohc,98,8238
1,toyota,gas,sedan,rwd,94.5,168.7,64.0,52.6,112,6600,29,26,168,front,dohc,98,9298
1,toyota,gas,hatchback,rwd,94.5,168.7,64.0,52.6,112,6600,29,26,168,front,dohc,98,9538
2,toyota,gas,hardtop,rwd,98.4,176.2,65.6,52.0,116,4800,30,24,134,front,ohc,146,8449
2,toyota,gas,hardtop,rwd,98.4,176.2,65.6,52.0,116,4800,30,24,134,front,ohc,146,9639
2,toyota,gas,hatchback,rwd,98.4,176.2,65.6,52.0,116,4800,30,24,134,front,ohc,146,9989
2,toyota,gas,hardtop,rwd,98.4,176.2,65.6,52.0,116,4800,30,24,134,front,ohc,146,11199
2,toyota,gas,hatchback,rwd,98.4,176.2,65.6,52.0,116,4800,30,24,134,front,ohc,146,11549
2,toyota,gas,convertible,rwd,98.4,176.2,65.6,53.0,116,4800,30,24,134,front,ohc,146,17669
-1,toyota,gas,sedan,fwd,102.4,175.6,66.5,54.9,92,4200,34,29,65,front,ohc,122,8948
-1,toyota,diesel,sedan,fwd,102.4,175.6,66.5,54.9,73,4500,33,30,65,front,ohc,110,10698
-1,toyota,gas,hatchback,fwd,102.4,175.6,66.5,53.9,92,4200,32,27,65,front,ohc,122,9988
-1,toyota,gas,sedan,fwd,102.4,175.6,66.5,54.9,92,4200,32,27,65,front,ohc,122,10898
-1,toyota,gas,hatchback,fwd,102.4,175.6,66.5,53.9,92,4200,32,27,65,front,ohc,122,11248
3,toyota,gas,hatchback,rwd,102.9,183.5,67.7,52.0,161,5200,24,20,197,front,dohc,171,16558
3,toyota,gas,hatchback,rwd,102.9,183.5,67.7,52.0,161,5200,24,19,197,front,dohc,171,15998
-1,toyota,gas,sedan,rwd,104.5,187.8,66.5,54.1,156,5200,24,20,90,front,dohc,171,15690
-1,toyota,gas,wagon,rwd,104.5,187.8,66.5,54.1,156,5200,24,19,?,front,dohc,161,15750
2,volkswagen,diesel,sedan,fwd,97.3,171.7,65.5,55.7,52,4800,46,37,122,front,ohc,97,7775
2,volkswagen,gas,sedan,fwd,97.3,171.7,65.5,55.7,85,5250,34,27,122,front,ohc,109,7975
2,volkswagen,diesel,sedan,fwd,97.3,171.7,65.5,55.7,52,4800,46,37,94,front,ohc,97,7995
2,volkswagen,gas,sedan,fwd,97.3,171.7,65.5,55.7,85,5250,34,27,94,front,ohc,109,8195
2,volkswagen,gas,sedan,fwd,97.3,171.7,65.5,55.7,85,5250,34,27,94,front,ohc,109,8495
2,volkswagen,diesel,sedan,fwd,97.3,171.7,65.5,55.7,68,4500,42,37,94,front,ohc,97,9495
2,volkswagen,gas,sedan,fwd,97.3,171.7,65.5,55.7,100,5500,32,26,94,front,ohc,109,9995
3,volkswagen,gas,convertible,fwd,94.5,159.3,64.2,55.6,90,5500,29,24,?,front,ohc,109,11595
3,volkswagen,gas,hatchback,fwd,94.5,165.7,64.0,51.4,90,5500,29,24,256,front,ohc,109,9980
0,volkswagen,gas,sedan,fwd,100.4,180.2,66.9,55.1,110,5500,24,19,?,front,ohc,136,13295
0,volkswagen,diesel,sedan,fwd,100.4,180.2,66.9,55.1,68,4500,38,33,?,front,ohc,97,13845
0,volkswagen,gas,wagon,fwd,100.4,183.1,66.9,55.1,88,5500,31,25,?,front,ohc,109,12290
-2,volvo,gas,sedan,rwd,104.3,188.8,67.2,56.2,114,5400,28,23,103,front,ohc,141,12940
-1,volvo,gas,wagon,rwd,104.3,188.8,67.2,57.5,114,5400,28,23,74,front,ohc,141,13415
-2,volvo,gas,sedan,rwd,104.3,188.8,67.2,56.2,114,5400,28,24,103,front,ohc,141,15985
-1,volvo,gas,wagon,rwd,104.3,188.8,67.2,57.5,114,5400,28,24,74,front,ohc,141,16515
-2,volvo,gas,sedan,rwd,104.3,188.8,67.2,56.2,162,5100,22,17,103,front,ohc,130,18420
-1,volvo,gas,wagon,rwd,104.3,188.8,67.2,57.5,162,5100,22,17,74,front,ohc,130,18950
-1,volvo,gas,sedan,rwd,109.1,188.8,68.9,55.5,114,5400,28,23,95,front,ohc,141,16845
-1,volvo,gas,sedan,rwd,109.1,188.8,68.8,55.5,160,5300,25,19,95,front,ohc,141,19045
-1,volvo,gas,sedan,rwd,109.1,188.8,68.9,55.5,134,5500,23,18,95,front,ohcv,173,21485
-1,volvo,diesel,sedan,rwd,109.1,188.8,68.9,55.5,106,4800,27,26,95,front,ohc,145,22470
-1,volvo,gas,sedan,rwd,109.1,188.8,68.9,55.5,114,5400,25,19,95,front,ohc,141,22625
